,Entry,Protein,Protein name,Gene names,Gene names (primary),yourlist
7138,Q5XKP0,MIC13,MICOS complex subunit MIC13 (Protein P117),MICOS13 C19orf70 MIC13 QIL1,MICOS13,"A0A0B4J2A5,Q5XKP0"
7139,Q5XPI4,RN123,E3 ubiquitin-protein ligase RNF123 (EC 2.3.2.27) (Kip1 ubiquitination-promoting complex protein 1) (RING finger protein 123) (RING-type E3 ubiquitin transferase RNF123),RNF123 KPC1 FP1477,RNF123,Q5XPI4
7140,Q5XUX0,FBX31,F-box only protein 31,FBXO31 FBX14 FBX31 PP2386,FBXO31,Q5XUX0
7141,Q5XUX1,FBXW9,F-box/WD repeat-containing protein 9 (F-box and WD-40 domain-containing protein 9),FBXW9 FBW9,FBXW9,Q5XUX1
7142,Q5ZPR3,CD276,CD276 antigen (4Ig-B7-H3) (B7 homolog 3) (B7-H3) (Costimulatory molecule) (CD antigen CD276),CD276 B7H3 PSEC0249 UNQ309/PRO352,CD276,Q5ZPR3
7143,Q61726,Q61726_MOUSE,Keratin type II (Fragment),Krt83 5430421N21Rik Krt2-10 Krt86,Krt83,Q61726
7144,Q61782,Q61782_MOUSE,"Type I epidermal keratin mRNA, 3'end (Fragment)",,,Q61782
7145,Q629K1,TRIQK,Triple QxxK/R motif-containing protein (Triple repetitive-sequence of QXXK/R protein homolog),TRIQK C8orf83,TRIQK,Q629K1
7146,Q63HK5,TSH3,Teashirt homolog 3 (Zinc finger protein 537),TSHZ3 KIAA1474 TSH3 ZNF537,TSHZ3,Q63HK5
7147,Q63HM9,PLCX3,PI-PLC X domain-containing protein 3,PLCXD3,PLCXD3,Q63HM9
7148,Q63HN8,RN213,E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (ALK lymphoma oligomerization partner on chromosome 17) (E3 ubiquitin-lipopolysaccharide ligase RNF213) (EC 2.3.2.-) (Mysterin) (RING finger protein 213),RNF213 ALO17 C17orf27 KIAA1554 KIAA1618 MYSTR,RNF213,Q63HN8
7149,Q63HQ0,AP1AR,AP-1 complex-associated regulatory protein (2c18) (Adaptor-related protein complex 1-associated regulatory protein) (Gamma-1-adaptin brefeldin A resistance protein) (GBAR) (Gamma-BAR) (Gamma-A1-adaptin and kinesin interactor) (Gadkin),AP1AR C4orf16 PRO0971,AP1AR,Q63HQ0
7150,Q63HR2,TNS2,Tensin-2 (EC 3.1.3.48) (C1 domain-containing phosphatase and tensin homolog) (C1-TEN) (Tensin-like C1 domain-containing phosphatase),TNS2 KIAA1075 TENC1,TNS2,Q63HR2
7151,Q63ZE4,S22AA,Solute carrier family 22 member 10 (Organic anion transporter 5),SLC22A10 OAT5,SLC22A10,Q63ZE4
7152,Q63ZY3,KANK2,KN motif and ankyrin repeat domain-containing protein 2 (Ankyrin repeat domain-containing protein 25) (Matrix-remodeling-associated protein 3) (SRC-1-interacting protein) (SIP) (SRC-interacting protein) (SRC1-interacting protein),KANK2 ANKRD25 KIAA1518 MXRA3 SIP,KANK2,Q63ZY3
7153,Q641Q2,WAC2A,WASH complex subunit 2A,WASHC2A FAM21A FAM21B,WASHC2A,"Q5SNT6,Q641Q2"
7154,Q643R3,LPCT4,Lysophospholipid acyltransferase LPCAT4 (1-acylglycerol-3-phosphate O-acyltransferase 7) (1-AGP acyltransferase 7) (1-AGPAT 7) (1-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.23) (1-acylglycerophosphoserine O-acyltransferase) (EC 2.3.1.n6) (1-alkenylglycerophosphoethanolamine O-acyltransferase) (EC 2.3.1.121) (1-alkylglycerophosphocholine O-acetyltransferase) (EC 2.3.1.67) (Acyltransferase-like 3) (Lysophosphatidylcholine acyltransferase 4) (Lysophosphatidylethanolamine acyltransferase 2) (EC 2.3.1.n7) (Plasmalogen synthase),LPCAT4 AGPAT7 AYTL3 LPEAT2,LPCAT4,Q643R3
7155,Q658Y4,F91A1,Protein FAM91A1,FAM91A1,FAM91A1,Q658Y4
7156,Q659C4,LAR1B,La-related protein 1B (La ribonucleoprotein domain family member 1B) (La ribonucleoprotein domain family member 2) (La-related protein 2),LARP1B LARP2,LARP1B,Q659C4
7157,Q66GS9,CP135,Centrosomal protein of 135 kDa (Cep135) (Centrosomal protein 4),CEP135 CEP4 KIAA0635,CEP135,Q66GS9
7158,Q66K14,TBC9B,TBC1 domain family member 9B,TBC1D9B KIAA0676,TBC1D9B,Q66K14
7159,Q66K74,MAP1S,Microtubule-associated protein 1S (MAP-1S) (BPY2-interacting protein 1) (Microtubule-associated protein 8) (Variable charge Y chromosome 2-interacting protein 1) (VCY2-interacting protein 1) (VCY2IP-1) [Cleaved into: MAP1S heavy chain; MAP1S light chain],MAP1S BPY2IP1 C19orf5 MAP8 VCY2IP1,MAP1S,Q66K74
7160,Q66K79,CBPZ,Carboxypeptidase Z (CPZ) (EC 3.4.17.-),CPZ,CPZ,Q66K79
7161,Q66LE6,2ABD,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform (PP2A subunit B isoform B55-delta) (PP2A subunit B isoform PR55-delta) (PP2A subunit B isoform R2-delta) (PP2A subunit B isoform delta),PPP2R2D KIAA1541,PPP2R2D,Q66LE6
7162,Q66PJ3,AR6P4,ADP-ribosylation factor-like protein 6-interacting protein 4 (ARL-6-interacting protein 4) (Aip-4) (HSP-975) (HSVI-binding protein) (SR-15) (SRp25) (SR-25) (Splicing factor SRrp37),ARL6IP4,ARL6IP4,Q66PJ3
7163,Q674X7,KAZRN,Kazrin,KAZN C1orf196 KAZ KIAA1026 HRIHFB2003,KAZN,Q674X7
7164,Q676U5,A16L1,Autophagy-related protein 16-1 (APG16-like 1),ATG16L1 APG16L UNQ9393/PRO34307,ATG16L1,Q676U5
7165,Q684P5,RPGP2,Rap1 GTPase-activating protein 2 (Rap1GAP2) (GTPase-activating Rap/Ran-GAP domain-like protein 4),RAP1GAP2 GARNL4 KIAA1039 RAP1GA2,RAP1GAP2,Q684P5
7166,Q68CL5,TPGS2,Tubulin polyglutamylase complex subunit 2 (PGs2),TPGS2 C18orf10 HMFN0601 L17,TPGS2,Q68CL5
7167,Q68CP9,ARID2,AT-rich interactive domain-containing protein 2 (ARID domain-containing protein 2) (BRG1-associated factor 200) (BAF200) (Zinc finger protein with activation potential) (Zipzap/p200),ARID2 BAF200 KIAA1557,ARID2,Q68CP9
7168,Q68CQ7,GL8D1,Glycosyltransferase 8 domain-containing protein 1 (EC 2.4.1.-),GLT8D1 GALA4A AD-017 MSTP137 UNQ572/PRO1134,GLT8D1,Q68CQ7
7169,Q68CZ1,FTM,Protein fantom (Nephrocystin-8) (RPGR-interacting protein 1-like protein) (RPGRIP1-like protein),RPGRIP1L FTM KIAA1005 NPHP8,RPGRIP1L,Q68CZ1
7170,Q68CZ2,TENS3,Tensin-3 (Tensin-like SH2 domain-containing protein 1) (Tumor endothelial marker 6),TNS3 TEM6 TENS1 TPP,TNS3,Q68CZ2
7171,Q68D10,SPT2,Protein SPT2 homolog (Protein KU002155) (SPT2 domain-containing protein 1),SPTY2D1,SPTY2D1,Q68D10
7172,Q68D91,MBLC2,Acyl-coenzyme A thioesterase MBLAC2 (Acyl-CoA thioesterase MBLAC2) (EC 3.1.2.2) (Beta-lactamase MBLAC2) (EC 3.5.2.6) (Metallo-beta-lactamase domain-containing protein 2) (Palmitoyl-coenzyme A thioesterase MBLAC2),MBLAC2,MBLAC2,Q68D91
7173,Q68DA7,FMN1,Formin-1 (Limb deformity protein homolog),FMN1 FMN LD,FMN1,Q68DA7
7174,Q68DH5,LMBD2,G-protein coupled receptor-associated protein LMBRD2 (LMBR1 domain-containing protein 2),LMBRD2,LMBRD2,Q68DH5
7175,Q68DK2,ZFY26,Zinc finger FYVE domain-containing protein 26 (FYVE domain-containing centrosomal protein) (FYVE-CENT) (Spastizin),ZFYVE26 KIAA0321,ZFYVE26,Q68DK2
7176,Q68DQ2,CRBG3,Very large A-kinase anchor protein (vlAKAP) (Beta/gamma crystallin domain-containing protein 3),CRYBG3,CRYBG3,Q68DQ2
7177,Q68DU8,KCD16,BTB/POZ domain-containing protein KCTD16 (Potassium channel tetramerization domain-containing protein 16),KCTD16 KIAA1317,KCTD16,Q68DU8
7178,Q68DZ5,Q68DZ5,"Beta-arrestin-2 (Uncharacterized protein DKFZp686L0365) (cDNA FLJ58316, highly similar to Beta-arrestin-2)",ARRB2 DKFZp686L0365,ARRB2,Q68DZ5
7179,Q68E01,INT3,Integrator complex subunit 3 (Int3) (SOSS complex subunit A) (Sensor of single-strand DNA complex subunit A) (SOSS-A) (Sensor of ssDNA subunit A),INTS3 C1orf193 C1orf60,INTS3,Q68E01
7180,Q68EM7,RHG17,Rho GTPase-activating protein 17 (Rho-type GTPase-activating protein 17) (RhoGAP interacting with CIP4 homologs protein 1) (RICH-1),ARHGAP17 RICH1 MSTP066 MSTP110,ARHGAP17,Q68EM7
7181,Q69YI7,NAIF1,Nuclear apoptosis-inducing factor 1,NAIF1 C9orf90,NAIF1,Q69YI7
7182,Q69YL0,NCAS2,Protein NCBP2AS2 (Hypoxia-induced angiogenesis regulator) (NCBP2 antisense gene protein 2),NCBP2AS2 HIAR,NCBP2AS2,Q69YL0
7183,Q69YN2,C19L1,CWF19-like protein 1 (C19L1),CWF19L1,CWF19L1,Q69YN2
7184,Q69YN4,VIR,Protein virilizer homolog,VIRMA KIAA1429 MSTP054,VIRMA,Q69YN4
7185,Q69YQ0,CYTSA,Cytospin-A (Renal carcinoma antigen NY-REN-22) (Sperm antigen with calponin homology and coiled-coil domains 1-like) (SPECC1-like protein),SPECC1L CYTSA KIAA0376,SPECC1L,Q69YQ0
7186,Q69YU3,AN34A,Ankyrin repeat domain-containing protein 34A,ANKRD34A ANKRD34,ANKRD34A,Q69YU3
7187,Q69YU5,BWNIN,Protein BRAWNIN,BRAWNIN BR C12orf73,BRAWNIN,Q69YU5
7188,Q69YW2,STUM,Protein stum homolog,STUM C1orf95,STUM,Q69YW2
7189,Q6A162,K1C40,"Keratin, type I cytoskeletal 40 (Cytokeratin-40) (CK-40) (Keratin-40) (K40) (Type I hair keratin Ka36)",KRT40 KA36,KRT40,Q6A162
7190,Q6A163,K1C39,"Keratin, type I cytoskeletal 39 (Cytokeratin-39) (CK-39) (Keratin-39) (K39) (Type I hair keratin Ka35)",KRT39 KA35,KRT39,Q6A163
7191,Q6A1A2,PDPK2,Putative 3-phosphoinositide-dependent protein kinase 2 (EC 2.7.11.1) (3-phosphoinositide-dependent protein kinase 2 pseudogene),PDPK2P PDPK2,PDPK2P,Q6A1A2
7192,Q6A555,TXND8,Thioredoxin domain-containing protein 8 (Spermatid-specific thioredoxin-3) (Sptrx-3) (Thioredoxin-6),TXNDC8 SPTRX3 TRX6,TXNDC8,Q6A555
7193,Q6AI12,ANR40,Ankyrin repeat domain-containing protein 40,ANKRD40,ANKRD40,Q6AI12
7194,Q6AWB1,Q6AWB1,Dynactin subunit 1,DCTN1 DKFZp686E0752,DCTN1,Q6AWB1
7195,Q6AWC2,WWC2,Protein WWC2 (BH-3-only member B) (WW domain-containing protein 2),WWC2 BOMB,WWC2,Q6AWC2
7196,Q6AZY7,SCAR3,Scavenger receptor class A member 3 (Cellular stress response gene protein),SCARA3 CSR,SCARA3,Q6AZY7
7197,Q6BCY4,NB5R2,NADH-cytochrome b5 reductase 2 (b5R.2) (EC 1.6.2.2),CYB5R2,CYB5R2,Q6BCY4
7198,Q6BDS2,URFB1,UHRF1-binding protein 1 (ICBP90-binding protein 1) (Ubiquitin-like containing PHD and RING finger domains 1-binding protein 1),UHRF1BP1 C6orf107,UHRF1BP1,Q6BDS2
7199,Q6DD88,ATLA3,Atlastin-3 (EC 3.6.5.-),ATL3,ATL3,Q6DD88
7200,Q6DHV5,C2D2B,Protein CC2D2B,CC2D2B C10orf130 C10orf131,CC2D2B,Q6DHV5
7201,Q6DHV7,ADAL,Adenosine deaminase-like protein (EC 3.5.4.-) (Adenosine deaminase-like protein isoform 1) (N6-mAMP deaminase) (HsMAPDA) (N6-methyl-AMP aminohydrolase),ADAL ADAL1,ADAL,Q6DHV7
7202,Q6DKI1,RL7L,60S ribosomal protein L7-like 1 (Large ribosomal subunit protein uL30-like 1),RPL7L1,RPL7L1,Q6DKI1
7203,Q6DKJ4,NXN,Nucleoredoxin (EC 1.8.1.8),NXN NRX,NXN,Q6DKJ4
7204,Q6DKK2,TTC19,"Tetratricopeptide repeat protein 19, mitochondrial (TPR repeat protein 19)",TTC19,TTC19,Q6DKK2
7205,Q6DN03,H2B2C,Putative histone H2B type 2-C (H2B-clustered histone 20 pseudogene) (Histone H2B.t) (H2B/t),H2BC20P HIST2H2BC,H2BC20P,Q6DN03
7206,Q6DN14,MCTP1,Multiple C2 and transmembrane domain-containing protein 1,MCTP1,MCTP1,Q6DN14
7207,Q6DN90,IQEC1,IQ motif and SEC7 domain-containing protein 1 (ADP-ribosylation factors guanine nucleotide-exchange protein 100) (ADP-ribosylation factors guanine nucleotide-exchange protein 2) (Brefeldin-resistant Arf-GEF 2 protein) (BRAG2),IQSEC1 ARFGEP100 BRAG2 KIAA0763,IQSEC1,"A0A087WWK8,Q6DN90"
7208,Q6DRA6,H2B2D,Putative histone H2B type 2-D (H2B-clustered histone 19 pseudogene),H2BC19P HIST2H2BD,H2BC19P,Q6DRA6
7209,Q6E0U4,DMKN,Dermokine (Epidermis-specific secreted protein SK30/SK89),DMKN UNQ729/PRO1411,DMKN,Q6E0U4
7210,Q6EEV4,GL1AD,"DNA-directed RNA polymerase II subunit GRINL1A, isoforms 4/5 (DNA-directed RNA polymerase II subunit M, isoforms 4/5)",POLR2M GRINL1A,POLR2M,Q6EEV4
7211,Q6EEV6,SUMO4,Small ubiquitin-related modifier 4 (SUMO-4) (Small ubiquitin-like protein 4),SUMO4 SMT3H4,SUMO4,Q6EEV6
7212,Q6EKJ0,GTD2B,General transcription factor II-I repeat domain-containing protein 2B (GTF2I repeat domain-containing protein 2B) (Transcription factor GTF2IRD2-beta),GTF2IRD2B,GTF2IRD2B,Q6EKJ0
7213,Q6EMK4,VASN,Vasorin (Protein slit-like 2),VASN SLITL2 UNQ314/PRO357/PRO1282,VASN,Q6EMK4
7214,Q6F5E8,CARL2,"Capping protein, Arp2/3 and myosin-I linker protein 2 (Capping protein regulator and myosin 1 linker 2) (F-actin-uncapping protein RLTPR) (Leucine-rich repeat-containing protein 16C) (RGD, leucine-rich repeat, tropomodulin and proline-rich-containing protein)",CARMIL2 LRRC16C RLTPR,CARMIL2,Q6F5E8
7215,Q6FI13,H2A2A,Histone H2A type 2-A (H2A-clustered histone 18) (H2A-clustered histone 19) (Histone H2A.2) (Histone H2A/o),H2AC18 H2AFO HIST2H2AA HIST2H2AA3; H2AC19 HIST2H2AA4,H2AC18; H2AC19,Q6FI13
7216,Q6FI81,CPIN1,Anamorsin (Cytokine-induced apoptosis inhibitor 1) (Fe-S cluster assembly protein DRE2 homolog),CIAPIN1 CUA001 PRO0915,CIAPIN1,Q6FI81
7217,Q6FIF0,ZFAN6,AN1-type zinc finger protein 6 (Associated with PRK1 protein) (Zinc finger A20 domain-containing protein 3),ZFAND6 AWP1 ZA20D3 HT032,ZFAND6,Q6FIF0
7218,Q6GMR7,FAAH2,Fatty-acid amide hydrolase 2 (EC 3.5.1.99) (Amidase domain-containing protein) (Anandamide amidohydrolase 2) (Oleamide hydrolase 2),FAAH2 AMDD,FAAH2,Q6GMR7
7219,Q6GMV2,SMYD5,Histone-lysine N-trimethyltransferase SMYD5 (EC 2.1.1.372) (Protein NN8-4AG) (Retinoic acid-induced protein 15) (SET and MYND domain-containing protein 5) ([histone H4]-lysine20 N-trimethyltransferase SMYD5),SMYD5 RAI15,SMYD5,Q6GMV2
7220,Q6GMV3,PTRD1,Putative peptidyl-tRNA hydrolase PTRHD1 (EC 3.1.1.29) (Peptidyl-tRNA hydrolase domain-containing protein 1),PTRHD1 C2orf79,PTRHD1,Q6GMV3
7221,Q6GPG7,Q6GPG7,Lysophosphatidic acid receptor 1 (Lysophosphatidic acid receptor Edg-2),LPAR1,LPAR1,Q6GPG7
7222,Q6GQQ9,OTU7B,OTU domain-containing protein 7B (EC 3.4.19.12) (Cellular zinc finger anti-NF-kappa-B protein) (Cezanne) (Zinc finger A20 domain-containing protein 1) (Zinc finger protein Cezanne),OTUD7B ZA20D1,OTUD7B,Q6GQQ9
7223,Q6GTX8,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1 (LAIR-1) (hLAIR1) (CD antigen CD305),LAIR1 CD305,LAIR1,Q6GTX8
7224,Q6GYQ0,RGPA1,Ral GTPase-activating protein subunit alpha-1 (GAP-related-interacting partner to E12) (GRIPE) (GTPase-activating Rap/Ran-GAP domain-like 1) (Tuberin-like protein 1) (p240),RALGAPA1 GARNL1 KIAA0884 TULIP1,RALGAPA1,Q6GYQ0
7225,Q6H8Q1,ABLM2,Actin-binding LIM protein 2 (abLIM-2) (Actin-binding LIM protein family member 2),ABLIM2 KIAA1808,ABLIM2,Q6H8Q1
7226,Q6I9Y2,THOC7,THO complex subunit 7 homolog (Functional spliceosome-associated protein 24) (fSAP24) (Ngg1-interacting factor 3-like protein 1-binding protein 1) (NIF3L1-binding protein 1) (hTREX30),THOC7 NIF3L1BP1,THOC7,Q6I9Y2
7227,Q6IA69,NADE,Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing]) (NAD(+) synthetase),NADSYN1,NADSYN1,Q6IA69
7228,Q6IA86,ELP2,Elongator complex protein 2 (ELP2) (SHINC-2) (STAT3-interacting protein 1) (StIP1),ELP2 STATIP1,ELP2,Q6IA86
7229,Q6IAA8,LTOR1,Ragulator complex protein LAMTOR1 (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 1) (Lipid raft adaptor protein p18) (Protein associated with DRMs and endosomes) (p27Kip1-releasing factor from RhoA) (p27RF-Rho),LAMTOR1 C11orf59 PDRO PP7157,LAMTOR1,Q6IAA8
7230,Q6IAK0,Q6IAK0,Selenoprotein T,SELENOT SELT hCG_20913,SELENOT,Q6IAK0
7231,Q6IAN0,DRS7B,Dehydrogenase/reductase SDR family member 7B (EC 1.1.-.-) (Short-chain dehydrogenase/reductase family 32C member 1) (Protein SDR32C1),DHRS7B SDR32C1 CGI-93 UNQ212/PRO238,DHRS7B,Q6IAN0
7232,Q6IB77,GLYAT,Glycine N-acyltransferase (EC 2.3.1.13) (Acyl-CoA:glycine N-acyltransferase) (AAc) (Aralkyl acyl-CoA N-acyltransferase) (Aralkyl acyl-CoA:amino acid N-acyltransferase) (Benzoyl-coenzyme A:glycine N-acyltransferase) (Glycine N-benzoyltransferase) (EC 2.3.1.71) (HRP-1(CLP)),GLYAT ACGNAT CAT GAT,GLYAT,Q6IB77
7233,Q6IBS0,TWF2,Twinfilin-2 (A6-related protein) (hA6RP) (Protein tyrosine kinase 9-like) (Twinfilin-1-like protein),TWF2 PTK9L MSTP011,TWF2,Q6IBS0
7234,Q6IC98,GRAM4,GRAM domain-containing protein 4 (Death-inducing protein),GRAMD4 DIP KIAA0767,GRAMD4,Q6IC98
7235,Q6ICB0,DESI1,Desumoylating isopeptidase 1 (DeSI-1) (EC 3.4.-.-) (PPPDE peptidase domain-containing protein 2) (Polyubiquitinated substrate transporter) (POST),DESI1 FAM152B PPPDE2,DESI1,Q6ICB0
7236,Q6ICG6,K0930,Uncharacterized protein KIAA0930,KIAA0930 C22orf9,KIAA0930,Q6ICG6
7237,Q6ICH7,ASPH2,Aspartate beta-hydroxylase domain-containing protein 2 (EC 1.14.11.-),ASPHD2,ASPHD2,Q6ICH7
7238,Q6ICJ4,Q6ICJ4,Glutathione transferase (EC 2.5.1.18),GSTT2B Em:AP000351.3 GSTT2 hCG_41095,GSTT2B,Q6ICJ4
7239,Q6ICL3,TNG2,Transport and Golgi organization protein 2 homolog,TANGO2 C22orf25,TANGO2,Q6ICL3
7240,Q6IEE7,T132E,Transmembrane protein 132E,TMEM132E,TMEM132E,Q6IEE7
7241,Q6IFX2,K1C42_MOUSE,"Keratin, type I cytoskeletal 42 (Cytokeratin-42) (CK-42) (Keratin-17n) (Keratin-42) (K42) (Type I keratin Ka22)",Krt42 Ka22,Krt42,Q6IFX2
7242,Q6IFZ6,K2C1B_MOUSE,"Keratin, type II cytoskeletal 1b (Cytokeratin-1B) (CK-1B) (Embryonic type II keratin-1) (Keratin-77) (K77) (Type-II keratin Kb39)",Krt77 Krt1b,Krt77,Q6IFZ6
7243,Q6IMN6,CAPR2,Caprin-2 (C1q domain-containing protein 1) (Cytoplasmic activation/proliferation-associated protein 2) (Gastric cancer multidrug resistance-associated protein) (Protein EEG-1) (RNA granule protein 140),CAPRIN2 C1QDC1 EEG1 KIAA1873 RNG140,CAPRIN2,Q6IMN6
7244,Q6IN84,MRM1,"rRNA methyltransferase 1, mitochondrial (EC 2.1.1.-) (16S rRNA (guanosine(1145)-2'-O)-methyltransferase) (16S rRNA [Gm1145] 2'-O-methyltransferase)",MRM1,MRM1,Q6IN84
7245,Q6IN85,P4R3A,Serine/threonine-protein phosphatase 4 regulatory subunit 3A (SMEK homolog 1),PPP4R3A KIAA2010 PP4R3A SMEK1 MSTP033,PPP4R3A,Q6IN85
7246,Q6IPR1,ETFR1,Electron transfer flavoprotein regulatory factor 1 (LYR motif-containing protein 5),ETFRF1 LYRM5,ETFRF1,Q6IPR1
7247,Q6IPX3,TCAL6,Transcription elongation factor A protein-like 6 (TCEA-like protein 6) (Transcription elongation factor S-II protein-like 6),TCEAL6,TCEAL6,Q6IPX3
7248,Q6IQ19,CCSAP,"Centriole, cilia and spindle-associated protein",CCSAP C1orf96 CSAP,CCSAP,Q6IQ19
7249,Q6IQ20,NAPEP,N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D (N-acyl phosphatidylethanolamine phospholipase D) (NAPE-PLD) (NAPE-hydrolyzing phospholipase D) (EC 3.1.4.54),NAPEPLD C7orf18,NAPEPLD,Q6IQ20
7250,Q6IQ22,RAB12,Ras-related protein Rab-12,RAB12,RAB12,Q6IQ22
7251,Q6IQ23,PKHA7,Pleckstrin homology domain-containing family A member 7 (PH domain-containing family A member 7),PLEKHA7,PLEKHA7,Q6IQ23
7252,Q6IQ26,DEN5A,DENN domain-containing protein 5A (Rab6-interacting protein 1) (Rab6IP1),DENND5A KIAA1091 RAB6IP1,DENND5A,Q6IQ26
7253,Q6IQ49,SDE2,Replication stress response regulator SDE2,SDE2 C1orf55,SDE2,Q6IQ49
7254,Q6IQ55,TTBK2,Tau-tubulin kinase 2 (EC 2.7.11.1),TTBK2 KIAA0847,TTBK2,Q6IQ55
7255,Q6IS14,IF5AL,Eukaryotic translation initiation factor 5A-1-like (eIF-5A-1-like) (eIF-5A1-like) (Eukaryotic initiation factor 5A isoform 1-like),EIF5AL1,EIF5AL1,Q6IS14
7256,Q6IS24,GLT17,Polypeptide N-acetylgalactosaminyltransferase 17 (EC 2.4.1.41) (Polypeptide GalNAc transferase-like protein 3) (GalNAc-T-like protein 3) (pp-GaNTase-like protein 3) (Protein-UDP acetylgalactosaminyltransferase-like protein 3) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 3) (Williams-Beuren syndrome chromosomal region 17 protein),GALNT17 WBSCR17,GALNT17,Q6IS24
7257,Q6IV72,ZN425,Zinc finger protein 425,ZNF425,ZNF425,Q6IV72
7258,Q6JBY9,CPZIP,CapZ-interacting protein (Protein kinase substrate CapZIP) (RCSD domain-containing protein 1),RCSD1 CAPZIP,RCSD1,Q6JBY9
7259,Q6JQN1,ACD10,Acyl-CoA dehydrogenase family member 10 (ACAD-10) (EC 1.3.99.-),ACAD10,ACAD10,Q6JQN1
7260,Q6KB66,K2C80,"Keratin, type II cytoskeletal 80 (Cytokeratin-80) (CK-80) (Keratin-80) (K80) (Type-II keratin Kb20)",KRT80 KB20,KRT80,Q6KB66
7261,Q6KC79,NIPBL,Nipped-B-like protein (Delangin) (SCC2 homolog),NIPBL IDN3 SCC2,NIPBL,Q6KC79
7262,Q6KCM7,SCMC2,Calcium-binding mitochondrial carrier protein SCaMC-2 (Mitochondrial ATP-Mg/Pi carrier protein 3) (Mitochondrial Ca(2+)-dependent solute carrier protein 3) (Small calcium-binding mitochondrial carrier protein 2) (Solute carrier family 25 member 25),SLC25A25 APC3 KIAA1896 MCSC3 SCAMC2 UNQ549/PRO1106,SLC25A25,Q6KCM7
7263,Q6L8Q7,PDE12,"2',5'-phosphodiesterase 12 (2'-PDE) (2-PDE) (EC 3.1.4.-) (Mitochondrial deadenylase) (EC 3.1.13.4)",PDE12,PDE12,Q6L8Q7
7264,Q6MZT1,R7BP,Regulator of G-protein signaling 7-binding protein (R7 family-binding protein),RGS7BP R7BP,RGS7BP,Q6MZT1
7265,Q6MZW2,FSTL4,Follistatin-related protein 4 (Follistatin-like protein 4),FSTL4 KIAA1061,FSTL4,Q6MZW2
7266,Q6N022,TEN4,Teneurin-4 (Ten-4) (Protein Odd Oz/ten-m homolog 4) (Tenascin-M4) (Ten-m4) (Teneurin transmembrane protein 4),TENM4 KIAA1302 ODZ4 TNM4,TENM4,Q6N022
7267,Q6N039,Q6N039,"Transmembrane and coiled-coil domains protein 1 (Uncharacterized protein DKFZp686H13261) (cDNA FLJ42680 fis, clone BRAMY2040592, highly similar to Transmembrane and coiled-coil domains protein 1)",TMCC1 DKFZp686H13261,TMCC1,Q6N039
7268,Q6N063,OGFD2,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2 (EC 1.14.11.-),OGFOD2,OGFOD2,Q6N063
7269,Q6N069,NAA16,"N-alpha-acetyltransferase 16, NatA auxiliary subunit (NMDA receptor-regulated 1-like protein) (NARG1-like protein)",NAA16 NARG1L NAT2,NAA16,Q6N069
7270,Q6NSI8,K1841,SANT and BTB domain regulator of class switch recombination (SANT and BTB domain regulator of CSR),SANBR KIAA1841,SANBR,Q6NSI8
7271,Q6NSJ0,MYORG,Myogenesis-regulating glycosidase (EC 3.2.1.-) (Uncharacterized family 31 glucosidase KIAA1161),MYORG KIAA1161,MYORG,Q6NSJ0
7272,Q6NSJ5,LRC8E,Volume-regulated anion channel subunit LRRC8E (Leucine-rich repeat-containing protein 8E),LRRC8E,LRRC8E,Q6NSJ5
7273,Q6NSW5,DE10B,Putative DENN domain-containing protein 10 B (DENND10 pseudogene 1) (Putative protein FAM45B),DENND10P1 FAM45 FAM45BP HT011,DENND10P1,Q6NSW5
7274,Q6NT04,TIGD7,Tigger transposable element-derived protein 7,TIGD7,TIGD7,Q6NT04
7275,Q6NT16,S18B1,MFS-type transporter SLC18B1 (Solute carrier family 18 member B1),SLC18B1 C6orf192,SLC18B1,Q6NT16
7276,Q6NTE8,MRNIP,MRN complex-interacting protein (MRN-interacting protein),MRNIP C5orf45,MRNIP,Q6NTE8
7277,Q6NTF9,RHBD2,Rhomboid domain-containing protein 2,RHBDD2 RHBDL7,RHBDD2,Q6NTF9
7278,Q6NUI6,CHADL,Chondroadherin-like protein,CHADL SLRR4B,CHADL,Q6NUI6
7279,Q6NUJ2,CK087,Uncharacterized protein C11orf87,C11orf87,C11orf87,Q6NUJ2
7280,Q6NUK1,SCMC1,Calcium-binding mitochondrial carrier protein SCaMC-1 (Mitochondrial ATP-Mg/Pi carrier protein 1) (Mitochondrial Ca(2+)-dependent solute carrier protein 1) (Small calcium-binding mitochondrial carrier protein 1) (Solute carrier family 25 member 24),SLC25A24 APC1 MCSC1 SCAMC1,SLC25A24,Q6NUK1
